Welcome to Classical classification!
The working dir is: /home/aljaafn/Desktop/Sorted_images_family_level_with_aug_all_resized32_aug_10
The data has been divided with for 0.80 percent for training and 0.20 percent for testing

========================================================


KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')Classifier score             precision    recall  f1-score   support
         11       0.00      0.00      0.00      1085
         12       0.00      0.00      0.00      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.00      0.00      0.00      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.00      0.00      0.00       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.07      0.26      0.11     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.262 (0.001)

========================================================


SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma=2, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.00      0.00      0.00        60
          9       0.00      0.00      0.00       193
         10       0.26      1.00      0.42      4911
         11       0.00      0.00      0.00      1085
         12       0.26      0.00      0.01      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.64      0.01      0.02      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.00      0.00      0.00       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.13      0.26      0.11     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.262 (0.002)

========================================================


DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.00      0.00      0.00        60
          9       0.00      0.00      0.00       193
         10       0.26      0.99      0.42      4911
         11       0.00      0.00      0.00      1085
         12       0.11      0.02      0.03      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.56      0.01      0.02      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.23      0.03      0.06       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.12      0.26      0.12     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.261 (0.001)

========================================================


RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features=1, max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=2, min_weight_fraction_leaf=0.0,
            n_estimators=3, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.00      0.00      0.00        60
          9       0.00      0.00      0.00       193
         10       0.26      1.00      0.41      4911
         11       0.00      0.00      0.00      1085
         12       0.00      0.00      0.00      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.00      0.00      0.00      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.00      0.00      0.00       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.07      0.26      0.11     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.261 (0.002)

========================================================


MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(100,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=200, momentum=0.9,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.00      0.00      0.00        60
          9       0.00      0.00      0.00       193
         10       0.26      1.00      0.42      4911
         11       0.00      0.00      0.00      1085
         12       0.00      0.00      0.00      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.00      0.00      0.00      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.00      0.00      0.00       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.07      0.26      0.11     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.262 (0.001)

========================================================


AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.02      0.02      0.02        60
          9       0.00      0.00      0.00       193
         10       0.26      0.98      0.41      4911
         11       0.08      0.01      0.01      1085
         12       0.00      0.00      0.00      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.00      0.00      0.00       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.02      0.01      0.01       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.00      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.00      0.00      0.00       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.00      0.00      0.00      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.00      0.00      0.00       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.00      0.00      0.00       961
         50       0.06      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.00      0.00        18

avg / total       0.08      0.26      0.11     18735
Confusion Matix: 
[[0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]]
Accuracy: 0.254 (0.007)

========================================================


GaussianNB(priors=None)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.02      0.02      0.02        60
          9       0.00      0.00      0.00       193
         10       0.53      0.00      0.01      4911
         11       0.00      0.00      0.00      1085
         12       0.05      0.00      0.00      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.00      0.00      0.00       305
         16       0.00      0.00      0.00        34
         17       0.00      0.00      0.00        85
         18       0.00      0.00      0.00       315
         19       0.00      0.00      0.00       224
         20       0.01      0.22      0.02         9
         21       0.00      0.00      0.00        13
         22       0.05      0.00      0.01       208
         23       0.00      0.00      0.00        15
         24       0.00      0.00      0.00        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.64      0.00        11
         29       0.00      0.07      0.01        15
         30       0.00      0.00      0.00       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.00      0.00      0.00       143
         34       0.01      0.00      0.00       339
         35       0.00      0.00      0.00        33
         36       0.00      0.00      0.00       507
         37       0.00      0.00      0.00       221
         38       0.03      0.00      0.01       318
         39       0.00      0.00      0.00       162
         40       0.00      0.00      0.00       125
         41       0.24      0.01      0.03      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.00      0.00      0.00       354
         45       0.03      0.01      0.01       131
         46       0.00      0.00      0.00        67
         47       0.00      0.00      0.00       119
         48       0.00      0.00      0.00       284
         49       0.25      0.00      0.00       961
         50       0.00      0.00      0.00      1677
         51       0.00      0.00      0.00       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.02      0.01        53
         55       0.00      0.00      0.00        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.00      0.00      0.00       514
         59       0.00      0.00      0.00        14
         60       0.00      0.00      0.00       125
         61       0.00      0.06      0.00        18

avg / total       0.17      0.00      0.00     18735
Confusion Matix: 
[[ 0  0  1 ...,  0  2 36]
 [ 0  0  0 ...,  0  0  0]
 [ 0  0  0 ...,  0  0  0]
 ..., 
 [ 0  0  0 ...,  0  0  0]
 [ 0  1  0 ...,  0  0  7]
 [ 0  0  0 ...,  0  0  1]]
Accuracy: 0.007 (0.001)

========================================================



Best Obtained Result: 0.262297
Best Classifer: SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma=2, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)
